Name,Url,SizeOfOptionalHeader,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags
ieinstal.exe,http://9779.info/%E5%84%BF%E7%AB%A5%E5%9B%BE%E5%BD%A2%E7%B2%98%E8%B4%B4%E7%94%BB/,224,10,0,44544,421888,0,41538,4096,49152,512,6,1,6,1,6,0,475136,1024,481216,2,32832,262144,8192,1048576,4096
ielowutil.exe,http://chinesevie.com/index.php?option=com_contact&view=contact&id=1&Itemid=57&lang=en,224,10,0,9216,213504,0,9253,4096,16384,512,6,1,6,1,6,0,233472,1024,273036,2,33088,262144,8192,1048576,4096
iexplore.exe,http://troikacapital.ru/novye_formy_registratsii_uridicheskih_lits_i_ip,224,10,0,26624,713728,0,9936,4096,32768,512,6,1,6,1,6,0,753664,1024,812639,2,32832,1048576,57344,1048576,4096
CmdAgent.exe,http://i3.17173cdn.com/2fhnvk/YWxqaGBf/outcms/DijOlXbjzmshgAC.jpg,224,8,0,45056,24576,0,9824,4096,49152,4096,4,0,0,0,4,0,77824,4096,79408,3,0,1048576,4096,1048576,4096
FrameworkService.exe,christinelebeck.com,224,8,0,61440,49152,0,57741,4096,65536,4096,4,0,0,0,4,0,118784,4096,179905,2,0,1048576,4096,1048576,4096
FrmInst.exe,http://www.vilagnomad.com/tables/signature-loans-no-credit-check.php,224,8,0,270336,98304,0,69235,4096,274432,4096,4,0,0,0,4,0,385024,4096,415203,2,0,1048576,4096,1048576,4096
Mue.exe,http://9779.info/%E6%BC%82%E4%BA%AE%E7%9A%84%E6%92%95%E8%B4%B4%E7%94%BB/,224,8,0,753664,229376,0,428147,4096,757760,4096,4,0,0,0,4,0,1183744,4096,1042871,3,0,1048576,4096,1048576,4096
naPrdMgr.exe,http://9779.info/%E7%A2%8E%E5%B8%83%E5%A4%B4%E5%88%B6%E4%BD%9C%E8%B4%B4%E7%94%BB%E5%9B%BE%E8%A7%A3/,224,8,0,86016,90112,0,76889,4096,90112,4096,4,0,0,0,4,0,184320,4096,188558,2,0,1048576,4096,1048576,4096
UdaterUI.exe,tavaresmovelaria.com,224,8,0,77824,73728,0,72921,4096,81920,4096,4,0,0,0,4,0,159744,4096,162685,2,0,1048576,4096,1048576,4096
McScanCheck.exe,http://netdna.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css,240,8,0,74240,32768,0,20576,4096,0,512,4,0,0,0,5,2,131072,1024,155548,3,32768,1048576,4096,1048576,4096
McTray.exe,http://youkuedu.com/index.php/campus-display/13-2013-12-19-11-19-32,224,8,0,12288,53248,0,5342,4096,16384,4096,4,0,0,0,4,0,73728,4096,120301,2,0,1048576,4096,1048576,4096
msaconfig.exe,http://9779.info/%E5%88%9D%E4%B8%AD%E7%94%BB%E7%9A%84%E5%AE%89%E5%85%A8%E6%89%8B%E6%8A%84%E6%8A%A5/,224,8,0,57344,40960,0,53134,4096,61440,4096,4,0,0,0,4,0,102400,4096,122777,3,0,1048576,4096,1048576,4096
ClientControl.exe,http://9779.info/%E7%BA%A2%E7%BB%BF%E8%93%9D%E7%9A%B1%E7%BA%B9%E7%BA%B8%E7%B2%98%E8%B4%B4%E7%94%BB/,224,8,0,45056,57344,0,46456,4096,49152,4096,4,0,0,0,4,0,114688,4096,155501,3,0,1048576,4096,1048576,4096
FireSvc.exe,http://www.js182.com/app/member/SportOption.php?uid=guest&langx=gb,224,8,0,286720,188416,0,278865,4096,290816,4096,4,0,0,0,4,0,528384,4096,523601,2,128,1048576,4096,1048576,4096
FireTray.exe,http://znsv.baidu.com/customer_search/api/js?sid=14553675342420242144,224,8,0,73728,139264,0,74071,4096,77824,4096,4,0,0,0,4,0,229376,4096,270213,2,0,1048576,4096,1048576,4096
Helper.exe,http://www.pubyun.com/wiki/lib/exe/js.php?tseed=f1f16e8c6142fab8553f2b9cfe045961,224,8,0,26624,32768,0,19676,4096,32768,512,4,0,0,0,4,0,77824,1024,94795,3,0,1048576,4096,1048576,4096
McAfeeFire.exe,http://9779.info/%E5%85%B3%E4%BA%8E%E6%85%88%E7%88%B1%E7%B2%98%E8%B4%B4%E7%94%BB/,224,8,0,249856,159744,0,241142,4096,253952,4096,4,0,0,0,4,0,466944,4096,463470,2,0,1048576,4096,1048576,4096
mfehidin.exe,http://grasslandhotel.com.vn/index.php/tours/danangtours/items/fbtrack.js,224,8,0,247808,110592,0,192046,4096,253952,512,5,0,5,0,5,0,372736,1024,392900,3,32768,1048576,4096,1048576,4096
mfevtps.exe,http://9779.info/%E5%85%AD%E4%B8%80%E5%84%BF%E7%AB%A5%E6%8B%BC%E8%B4%B4%E7%94%BB/,224,8,0,86016,59904,0,53717,4096,90112,512,5,0,5,0,5,0,163840,1024,178123,3,33088,1048576,4096,1048576,4096
McSACore.exe,http://3cf.ru/2015/07/21/hokkei-vladislav-tretiak-vydvinem-rotenberga-na-post-predsedatelia-pravleniia-fhr/,224,8,0,192512,122880,0,177823,4096,196608,4096,4,0,0,0,4,0,323584,4096,362041,2,0,1048576,4096,1048576,4096
pireg.exe,http://9779.info/%E5%89%AA%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87%E5%A4%A7%E5%85%A8/,224,6,0,32768,36864,0,8420,4096,36864,4096,4,0,0,0,4,0,73728,4096,63916,3,0,1048576,4096,1048576,4096
logparser.exe,http://grasslandhotel.com.vn/index.php/tours/culaochamtours/items/fbtrack.js,224,6,0,28672,49152,0,10326,4096,32768,4096,4,0,0,0,4,0,81920,4096,69186,2,0,1048576,4096,1048576,4096
mcadmin.exe,http://9779.info/%E7%9A%B1%E7%BA%B9%E7%BB%B3%E7%B2%98%E8%B4%B4%E7%94%BB/,224,9,0,34816,19968,0,7272,4096,40960,512,5,0,0,0,5,0,77824,1024,96073,2,33088,1048576,4096,1048576,4096
mcconsol.exe,http://9779.info/%E8%A5%BF%E7%93%9C%E5%AD%90%E7%9A%AE%E6%8B%BC%E8%B4%B4%E7%94%BB/,224,9,0,25088,15872,0,4561,4096,32768,512,5,0,0,0,5,0,57344,1024,58311,2,33088,1048576,4096,1048576,4096
mcupdate.exe,http://hotlinegsm.com/products/mobile-and-tablet/apple-iphone-4-detail,224,9,0,109056,43520,0,57993,4096,114688,512,5,0,0,0,5,0,184320,1024,200239,2,33088,1048576,4096,1048576,4096
NCDaemon.exe,http://www.xj9599.com/app/member/indexs.php?path=pages&pages=help&uid=f554ab9b50d41d8cd98fra3,224,6,0,237568,81920,0,174911,4096,241664,4096,4,0,0,0,4,0,323584,4096,354809,2,0,1048576,4096,1048576,4096
NCInstall.exe,http://www3.upweb.net/peradmin/htmlfile/xc0602/200712130927571105679.JPG,224,6,0,143360,40960,0,88783,4096,147456,4096,4,0,0,0,4,0,188416,4096,211246,2,0,1048576,4096,1048576,4096
NotesCfgOA.exe,http://hotlinegsm.com/products/mobile-and-tablet/nokia-asha-302-detail,224,9,0,26112,16384,0,5120,4096,32768,512,5,0,0,0,5,0,57344,1024,109075,2,33088,1048576,4096,1048576,4096
restartvse.exe,http://www.xpj5988.com/pages/novice/register.htm;jsessionid=A77C20A90C6790855CB2882AD06183ED,224,9,0,32768,17920,0,9351,4096,36864,512,5,0,0,0,5,0,65536,1024,102391,2,33088,1048576,4096,1048576,4096
scan32.exe,dr-menschick.at,224,9,0,32768,17920,0,6153,4096,36864,512,5,0,0,0,5,0,65536,1024,87954,2,33088,1048576,4096,1048576,4096
ScnCfg32.Exe,http://9779.info/%E8%B1%86%E5%AD%90%E7%B2%98%E8%B4%B4%E7%94%BB%E7%94%A8%E4%BB%80%E4%B9%88%E7%B2%98/,224,9,0,25088,15872,0,4561,4096,32768,512,5,0,0,0,5,0,57344,1024,112817,2,33088,1048576,4096,1048576,4096
shcfg32.exe,http://9779.info/%E4%BA%B2%E5%AD%90%E6%AF%9B%E7%BA%BF%E8%B4%B4%E7%94%BB/,224,9,0,131072,61952,0,80808,4096,135168,512,5,0,0,0,5,0,2011136,1024,207941,2,33088,1048576,4096,1048576,4096
shstat.exe,http://9779.info/%E5%B9%BF%E5%91%8A%E6%8B%9B%E8%B4%B4%E7%94%BB%E7%8E%AF%E4%BF%9D%E5%9B%BE%E7%89%87/,224,9,0,147456,61440,0,96564,4096,151552,512,5,0,0,0,5,0,241664,1024,271850,2,33088,1048576,4096,1048576,4096
VsTskMgr.exe,http://golfsource.us/index.php?option=com_content&view=article&id=7&Itemid=1,224,9,0,143360,57344,0,70533,4096,147456,512,5,0,0,0,5,0,221184,1024,233058,3,33216,1048576,4096,1048576,4096
wscavexe.exe,http://host66.hostmonster.com/suspended.page/disabled.cgi/cf-host.com,224,9,0,111616,24576,0,20547,4096,118784,512,5,0,0,0,5,0,151552,1024,209894,3,32896,1048576,4096,1048576,4096
Chess.exe,https://c...content-available-to-author-only...e.org/search?q=,224,9,0,1243136,1643008,0,356455,4096,1249280,512,6,1,6,1,6,1,2899968,1536,2889898,2,33088,262144,8192,1048576,4096
FreeCell.exe,chronic.com.hk,224,9,0,540160,203264,0,188418,4096,544768,512,6,1,6,1,6,1,753664,1536,766544,2,33088,262144,8192,1048576,4096
Hearts.exe,http://haishundl.com/a/qinpengqipaiguanfangxiazai/20131014/226.html,224,9,0,564224,176128,0,213573,4096,569344,512,6,1,6,1,6,1,749568,1536,723920,2,33088,262144,8192,1048576,4096
Mahjong.exe,http://9779.info/%E5%89%AA%E8%B4%B4%E7%94%BB%E5%A9%9A%E7%BA%B1/,224,9,0,520192,185344,0,191273,4096,524288,512,6,1,6,1,6,1,712704,1536,709880,2,33088,262144,8192,1048576,4096
MineSweeper.exe,http://www.js182.com/app/member/SportOption.php?uid=guest&langx=gb,224,9,0,511488,244224,0,188559,4096,516096,512,6,1,6,1,6,1,765952,1536,740909,2,33088,262144,8192,1048576,4096
bckgzm.exe,safety.apple.com.nlmalhmcvw.dwkummyh8ndpdenj.trade,224,9,0,12288,79872,0,10341,4096,16384,512,6,1,6,1,6,1,102400,1024,145689,2,33088,262144,8192,1048576,4096
chkrzm.exe,http://shicaifanxin.cn/index.php?s=video/search/wd/%E5%BE%97%E5%BE%97%E7%88%B1,224,9,0,12288,89088,0,10325,4096,16384,512,6,1,6,1,6,1,110592,1024,102322,2,33088,262144,8192,1048576,4096
shvlzm.exe,http://9779.info/%E6%A0%91%E5%8F%B6%E8%B4%B4%E7%94%BB%E4%BD%9C%E5%93%81/,224,9,0,12288,81408,0,10325,4096,16384,512,6,1,6,1,6,1,102400,1024,114848,2,33088,262144,8192,1048576,4096
PurblePlace.exe,http://www.thereefrestaurant.com/wp-content/plugins/wp-lightbox-2/styles/lightbox.min.css?ver=1.3.4,224,9,0,803840,301568,0,481513,4096,811008,512,6,1,6,1,6,1,1118208,1536,1138485,2,33088,262144,8192,1048576,4096
Solitaire.exe,http://www.newstudy.net/community/Web_nMngr.aspx?pn=2&acaidx=0&board_idx=338&sflag=1&mflag=NOT&where_s=n_Sub&keyword_s=,224,9,0,573952,178176,0,215848,4096,581632,512,6,1,6,1,6,1,765952,1536,737045,2,33088,262144,8192,1048576,4096
SpiderSolitaire.exe,http://9779.info/%E5%BF%AB%E4%B9%90%E6%9A%91%E5%81%87%E7%9A%84%E5%89%AA%E8%B4%B4%E7%94%BB/,224,9,0,558080,197120,0,199995,4096,565248,512,6,1,6,1,6,1,770048,1536,747913,2,33088,262144,8192,1048576,4096
ONELEV.EXE,http://grasslandhotel.com.vn/index.php/component/djcatalog2/item/3-hotelpromotion/16-newyearholiday,224,9,0,29696,9216,0,25147,4096,36864,512,5,1,0,0,5,1,53248,1024,84157,2,32832,1048576,4096,1048576,4096
CLVIEW.EXE,http://www.xpj5988.com/promotion.htm;jsessionid=A77C20A90C6790855CB2882AD06183ED,224,9,0,152064,97792,0,134292,4096,233472,512,5,1,0,0,5,1,266240,1024,270695,2,32832,1048576,4096,1048576,4096
CNFNOT32.EXE,http://bisaneema.org/%e0%a4%85%e0%a4%96%e0%a4%bf%e0%a4%b2-%e0%a4%ad%e0%a4%be%e0%a4%b0%e0%a4%a4%e0%a5%80%e0%a4%af-%e0%a4%95%e0%a5%87%e0%a4%a8%e0%a5%8d%e0%a4%a6%e0%a5%8d%e0%a4%b0%e0%a5%80-%e0%a4%af-%e0%a4%aa%e0%a4%b0/,224,9,0,115712,30208,0,96437,4096,258048,512,5,1,0,0,5,1,155648,1024,158716,2,32832,1048576,4096,1048576,4096
